"","x"
"1095","@KevinSpacey former shoe salesman? should prob change that to current shoe salesman because you pretty much fucked‚Ä¶ https://t.co/dmgMrHNR4K"
"1096","@KevinSpacey Favorite actor... Unfavorable person... sad, very sad to lose such a phenomenal actor from the silver‚Ä¶ https://t.co/BdHNKNlCJ9"
"1097",".@HarveyWeinstein .@JoeBiden .@alfranken .@charlierose  .@KevinSpacey and the rest of you perverted scum bags. You‚Ä¶ https://t.co/7gRA6phnkD"
"1098","@TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/7JX7NN11Yx"
"1099","@KevinSpacey And five years ago......

https://t.co/M7oKp6HudP"
"1100","@Hammyisms @SenAlFrank @charlierose @GeorgeTakei @KevinSpacey @HarveyWeinstein You said you you said it was a sad w‚Ä¶ https://t.co/VsOe7Vg1Wl"
"1101","@TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/7UawGOOljK"
"1102","@NBCNews @Morning_Joe @Local4News @KevinSpacey  must be giving him pointers."
"1103","@The_RealCheeto @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump‚Ä¶ https://t.co/IMQEOM0FBu"
"1104","@ckelly79 @SenAlFrank @MattlauerToday @charlierose @GeorgeTakei @KevinSpacey @HarveyWeinstein I fail to see the connection"
"1105","@womensmarch I don't see you on the streets with your #pussyhats and vagina costumes protesting the real‚Ä¶ https://t.co/gCnQuQaSis"
"1106","How is it that @FamilyGuyonFOX made a joke about Stewie escaping from @KevinSpacey ‚Äòs basement and it was 2005. 12‚Ä¶ https://t.co/GoOU0YvCla"
"1107","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/mWE2pwFe93"
"1108","@nancy73gg @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken‚Ä¶ https://t.co/riiSZNGw8g"
"1109","@nancy73gg @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken‚Ä¶ https://t.co/EoQH8nUnj5"
"1110","@KevinSpacey Hope things work out for you Kevin, your are still at top actor"
"1111","**Casting** #SLAMinutes goes to the #stripclub with #metoo DM for deets @KevinSpacey are you free? Probs are, no?‚Ä¶ https://t.co/ljaqBj96m4"
"1112","YAAAAAS! @KevinSpacey didn‚Äôt ruin Netflix. There‚Äôs more to watch in my future Ì†ΩÌ∂§ https://t.co/CPIMXPrjrv"
"1113","@MENTooSTRONG @VanityFair @KevinSpacey Well- you won't watch it. I don't know why you have such a hard-on for KS bu‚Ä¶ https://t.co/pIWLP3gP3T"
"1114","@JonWDHam @lanag2003 @realDonaldTrump @KevinSpacey Although I never liked the song, Bye, Bye Miss American Pie, am‚Ä¶ https://t.co/3FP2AntFNw"
"1115","@JonWDHam @lanag2003 @realDonaldTrump @KevinSpacey Ì†ºÌºéÌ†ΩÌ∫Ä Did you just land on planet Earth? Have you been out there w/‚Ä¶ https://t.co/DcDzW7Y5rY"
"1116","@JonWDHam @lanag2003 @realDonaldTrump @KevinSpacey Stock market at all time high, 24,000. Unemployment at 17 yr low‚Ä¶ https://t.co/BEqit5TH9M"
"1117","@PageSix it's worth mentioning that these birds did it to themselves.@alfranken @RepJohnConyers @MLauer @KevinSpacey @Morning_Joe"
"1118","@JonWDHam @lanag2003 @realDonaldTrump @KevinSpacey Are you really this bad? You're an ""actor, storyteller?"" This is‚Ä¶ https://t.co/M03aYUObf3"
"1119","@LeoRules1 @Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/2qyrtKbEvG"
"1120","@KevinSpacey Everyone commenting, and tweeting. You're all throwing stones for the sake of throwing them. You don't‚Ä¶ https://t.co/PxnotdaQP2"
"1121","@Corey_Feldman @KSacandy You will be celebrated for this effort!  People will be stunned as to how many #Weinstein‚Ä¶ https://t.co/s9MYVhI5AJ"
"1122","@ShoeyGuyDoom So you're the bot with 7 rws on ESEA? Your face straight up looks like you'd 'Kevin @KevinSpacey a ki‚Ä¶ https://t.co/tvezpG8Ctg"
"1123","@PatFerg10832937 @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/1EunuUVDon"
"1124","@Jahmai11 @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/NQWo8Bh7Nb"
"1125","@Jahmai11 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/3WT6I1vZ71"
"1126","Good morning to all except to men who TOUCH or SHOW OFF THEIR DICKS to people who DIDN'T ASK THEM TO!!!!! @MLauer‚Ä¶ https://t.co/71Krl5Hm0u"
"1127","@ABCPolitics @NBCNews @CBS in your feelings of disgust with the sexual allegations &amp; immediately believing the fema‚Ä¶ https://t.co/pBYchGMgzg"
"1128","@nancy73gg @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/EfR3gqYMPF"
"1129","@The_RealCheeto @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump‚Ä¶ https://t.co/zqJYTdcy7B"
"1130","@ABC Like @HarveyWeinstein &amp; @KevinSpacey ducking out on the obvious guilt &amp; the outcry for his resignation by pulling the pity BS."
"1131","@The_RealCheeto @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump‚Ä¶ https://t.co/Oa9IPCkReW"
"1132","@TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/a9TpFl3H3Z"
"1133","@EmmaPeel_Knight @andyfilm_1 @KevinSpacey Nah, I'm good"
"1134","@CatherinCrabill @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/6pASpD67nk"
"1135",".@Andersoncooper probably told @kathygriffin about that time that @JakeTapper confided into Cooper about Jake's clo‚Ä¶ https://t.co/n95uDLBlB4"
"1136","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/VXqXOAbNT4"
"1137","@brianwg1967 @az_mathe @AlecBaldwin @JMessner @KevinSpacey @LarryDWilcox @LeoDiCaprio @LukeGoss @mark_wahlberg‚Ä¶ https://t.co/5TpManmWDp"
"1138","Il est trop fort @FrankUnderwocd alias @KevinSpacey #Ô∏è‚É£ #JimMiller #HouseOfCards #pr√©sident #serie #Spoiler #Netflix https://t.co/HEUoYYusrl"
"1139","any celebrities, or recently revealed sexual predators in the mood to improve their reputation by randomly paying p‚Ä¶ https://t.co/DwbyMn5Q9v"
"1140","@JoePFarley @KJphnson @LauraLoomer @BillClinton @KevinSpacey Delete the word gay and you aren't a bigot and still g‚Ä¶ https://t.co/zLMnGMq8Zh"
"1141","@KJphnson @LauraLoomer @BillClinton @KevinSpacey Public sex is illegal?"
"1142","@SpankCityHall @LauraLoomer @KevinSpacey @LizCrokin Controlled"
"1143","@SheilaDecker19 @andyfilm_1 @KevinSpacey Did you read Christopher Plummers Biography? I suppose: NO. So you should‚Ä¶ https://t.co/7z7uaVXpR6"
"1144","#SEX #ADDICTION HELPLINE-GET CONFIDENTIAL HELP NOW AT 877-750-6607 https://t.co/3MNT65t2EE #MattLauer @MLauer‚Ä¶ https://t.co/fTwQrXegGP"
"1145","@CherokeeMyTribe @DavidGrayCXO @rosemcgowan @realDonaldTrump @TIME @JoeBiden @Corey_Feldman @michaelstrahan‚Ä¶ https://t.co/fzxgEcXhJc"
"1146","@CherokeeMyTribe @DavidGrayCXO @rosemcgowan @realDonaldTrump @TIME @JoeBiden @Corey_Feldman @michaelstrahan‚Ä¶ https://t.co/ynMAHEHnsn"
"1147","@CherokeeMyTribe @DavidGrayCXO @rosemcgowan @realDonaldTrump @TIME @JoeBiden @Corey_Feldman @michaelstrahan  has co‚Ä¶ https://t.co/trDVfSHlLT"
"1148","@ringod01 @Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/HQyZlMSv9b"
"1149","@Jahmai11 @Corey_Feldman @ringod01 @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/FtOG0YHpyG"
"1150","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/U2UDw6mX6b"
"1151","@TheMorris83 @thehill @SenateMajLdr @alfranken @KevinSpacey Ask Project Veritas if press are able to identify liars‚Ä¶ https://t.co/BMyWWyrbCB"
"1152","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/WEC0vpKCpr"
"1153","Anne and I watched Baby Driver last night. Decent enough. Entertaining. But everything @KevinSpacey said came acros‚Ä¶ https://t.co/c4WH40lNjE"
"1154","I think this this means you guys...
@MLauer
@SenFranken
@KevinSpacey
@RepJohnConyers
#FilthyScum https://t.co/s7DNaOeggi"
"1155","Sooo...@HarveyWeinstein, @MLauer, @KevinSpacey, &amp; others get to offer a weak ""I'm sorry for my actions""; yet,‚Ä¶ https://t.co/CykQYSs9ze"
"1156","@ChiaraLove39 @az_mathe @AlecBaldwin @JMessner @KevinSpacey @LarryDWilcox @LeoDiCaprio @LukeGoss @mark_wahlberg‚Ä¶ https://t.co/u299YHsymR"
"1157","@diane_preciado @Jahmai11 @ringod01 @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/0wJhzSRQWP"
"1158","@Reuters Aww, just like his brother @KevinSpacey"
"1159","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/4mOkEXAL8K"
"1160",".@mlauer issued a statement expressing sorrow and regret (that he got caught), says repairing the damage is now a f‚Ä¶ https://t.co/PLdOdjPPop"
"1161","@LeoRules1 @AllStarHays @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/5kiMbWe9aS"
"1162","@Jahmai11 @Corey_Feldman @ringod01 @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/eTb5tJBc8V"
"1163","@KevinSpacey MorningsMaria @cherylcasone Love Christopher Plummer! No one is irreplaceable,KS"
"1164","@KevinSpacey Always like your way of POTUS.Huge fan of yours since David Gale.Keep yourself together,come clean or stand for yourself."
"1165","@IndianExpress @KevinSpacey Its called re shooting."
"1166","@RidleyScottFree wish you hadn't replaced @KevinSpacey in the movie #allaboutthemoney. The previous trailer was not‚Ä¶ https://t.co/qujjVq53dt"
"1167","@Jahmai11 @Corey_Feldman @ringod01 @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/Kn2YUgaDny"
"1168","@RidleyScottFree Here in India, we wish that you hadn't replaced Kevin Spacey with Plummer. The older theme was stu‚Ä¶ https://t.co/34XFFWtxra"
"1169","@Slate We will not watch this movie in #Europe. @KevinSpacey is a real actor. Mr. Plummer is a 87years old man, who‚Ä¶ https://t.co/WidghT0PY2"
"1170","@The_RealCheeto @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump‚Ä¶ https://t.co/sHENOki1VL"
"1171","@ringod01 @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/MkQ9gusA59"
"1172","@niyamagaana @KevinSpacey He‚Äôs a sex predator tho (maybe like kamal hassan who knows Ì†æÌ¥£)"
"1173","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/wtzuTAWLWI"
"1174","@JohnAmaechi @KevinSpacey Like Kim yung? Yeah he is an enabler..."
"1175","@JohnAmaechi @KevinSpacey When you do that you know that you giving this people work by paying for it... and it is‚Ä¶ https://t.co/aOCC2qjKL7"
"1176","@MoneySeekersRec @KevinSpacey But Kevin spacey is an actor, not he most powerful man in the world with a finger on nuclear buttons..."
"1177","@MoneySeekersRec @KevinSpacey You can if you want to..."
"1178","@CraigRSawyer @KevinSpacey Suicide"
"1179","#AllTheMoneyInTheWorld new trailer: #RidleyScott miraculously replaces @KevinSpacey with #ChristopherPlummer within‚Ä¶ https://t.co/799SlFPsAB"
"1180","#ENTERTAINMENT | #AllTheMoneyInTheWorld new trailer: #RidleyScott miraculously replaces @KevinSpacey with‚Ä¶ https://t.co/OMocPNp439"
"1181","Happy 80th Birthday Ridley Scott. His latest movie comes out Dec. 22 and here is the new trailer sans @KevinSpacey‚Ä¶ https://t.co/BP4IwCw21G"
"1182","@TV12News @SimplyDon1 @ScaryPerrySkate @BillCosby @KevinSpacey @TIME My vote goes to @ScaryPerry323 Perry careahvellow the scared mister"
"1183","@JohnAmaechi Like @KevinSpacey dad? Can any one here watch his movies again?"
"1184","@KevinSpacey You are the best actor in the world I don‚Äôt know you personally but nobody should discredit your milestone acting roles"
"1185","Ridley Scott pulled it off. Recast @KevinSpacey , reshoot, post-production, and STILL meet original release date. S‚Ä¶ https://t.co/pLs4fuKDR7"
"1186","@CraigRSawyer @KevinSpacey How can we lose with Craig on our side fam? #MAGA"
"1187","@CraigRSawyer @KevinSpacey Another shout out to Craig.  I have been commenting from time and time again with my app‚Ä¶ https://t.co/hHlWwyM3fH"
"1188","@realDonaldTrump When ppl who answer to liberals (@MattLauer, @KevinSpacey, for instance) are proven to have commit‚Ä¶ https://t.co/TBswBmE1Jd"
"1189","@CraigRSawyer @KevinSpacey @kevinspacey
""No matter how it ends
No matter how it starts
Forget about your house of c‚Ä¶ https://t.co/iDDIzVJgiy"
"1190","@CraigRSawyer @KevinSpacey Is it just me or is the FBI a completely rogue agency breaking laws at the behest of the‚Ä¶ https://t.co/hkFOWOfTUP"
"1191","@NewsPuppet @CraigRSawyer @KevinSpacey Wow... the pedo logo??? Unbelievable"
"1192","@The_RealCheeto @54fa2158eaf1453 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken‚Ä¶ https://t.co/592dDfY6xj"
"1193","@steevwho @KevinSpacey More likely saving his life from the DNC. They‚Äôll smoke him in a heartbeat as things unravel‚Ä¶ https://t.co/UEDyAa7glg"
"1194","@CraigRSawyer @KevinSpacey Craig do you notice something? https://t.co/X64zeuM9rQ"
"1195","@KevinSpacey Tick tock... ‚è∞‚è∞‚è∞‚è∞ https://t.co/Tj534rK4vW"
"1196","Film director #RidleyScott talks about cutting @KevinSpacey out of his new movie...
https://t.co/BHqT2UkmLB"
"1197","Film director #RidleyScott talks about cutting @KevinSpacey out of his new movie...
https://t.co/wwGytLhDIb"
"1198","@KevinSpacey Hey Kevin. How you doing my friend?"
"1199","@Jahmai11 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/UaThmlDNaT"
"1200","@Jahmai11 @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/3FitYwlbYr"
"1201","@candicecarley @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/qP3J1gKldo"
"1202","@candicecarley @TheWantedEmcees @Corey_Feldman @chelseahandler @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/7wWYsep8gT"
"1203","@TheWantedEmcees @Corey_Feldman @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/8KrvoRGLpt"
"1204","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/PAevq2xvRM"
"1205","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/6o5eNMTr2L"
"1206","@kevinjonas @KevinSpacey @KevinHart4real @KevinJames I hate the name Kevin"
"1207","@robreiner @robreiner you're the one freely using those words..too bad you don't show the same disdain for Harvey,‚Ä¶ https://t.co/wDYqUqLKgV"
"1208","@TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen @RepJohnConyers‚Ä¶ https://t.co/xLCrid7ciq"
"1209","@PatFerg10832937 @Corey_Feldman @TheWantedEmcees @chelseahandler @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/yPISbgDknl"
"1210","@BillOReilly @HarveyWeinstein @KevinSpacey @MLauer I do still think if rape and groping are being alleged and it's‚Ä¶ https://t.co/Wq9ih1eQEF"
"1211","#omg,#wtf #mattlauer,.@charlierose .@KevinSpacey .@jeffreytambor .@dannymasterson .@judgeroymooreAL &amp; so many more‚Ä¶ https://t.co/Vg8mm30YAH"
"1212","The effect @annehelen 's crap has on fighting white male privilege and empowering women, is pretty much similar to‚Ä¶ https://t.co/CLvsXQ3I6S"
"1213","@CraigRSawyer @KevinSpacey @KevinSpacey we all know how you played in the house of card's...because thats the life‚Ä¶ https://t.co/edrSH169ks"
"1214","@BillOReilly @HarveyWeinstein @KevinSpacey @MLauer Not much hope for Congress they can't even pass legislation let‚Ä¶ https://t.co/pGzNSVj3OB"
"1215","When Roger Ailes and @BillOReilly were accused I thought it was just momentÌ†ΩÌ∏í. Then @HarveyWeinstein happened &amp; I th‚Ä¶ https://t.co/9HZ3EDyDNP"
"1216","I beat advanced warfare I'm coming for you @kevinspacey #sub4sub #subforsub #stoner #stoned‚Ä¶ https://t.co/9f6RdK4wm2"
"1217","@RealJamesWoods Or boys, right @KevinSpacey ?"
"1218","@NYDNgossip GOOD 4 U RIDLEY! GETTING RID OF A CHILD MOLESTER RAPIST WAS THE BEST THING U COULD DO 4 UR NAME, COMPAN‚Ä¶ https://t.co/OmPiJPjciH"
"1219","@nelsoncarvajal The Music has change in the new trailer. The Zombies were so goood. I preferred the movie with‚Ä¶ https://t.co/Qqyn4j3P2B"
"1220","Watching the Office and just realized something. Michael would be straight up EFFED in 2017. You think @MLauer and‚Ä¶ https://t.co/AyeFfemspA"
"1221","Gay Rugby player Ian Roberts says @KevinSpacey made him uncomfortable during the filming of Superman Returns‚Ä¶ https://t.co/Wvv0kzw5eG"
"1222","@Corey_Feldman @RodStryker @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/Tqo0cvAPDd"
"1223","@PatFerg10832937 @Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker‚Ä¶ https://t.co/qMhh370j4A"
"1224","@FoxNews @GeorgeTakei @KevinSpacey And George Takei ran around saying
I'm Sorry, I'm Sorry, I'm Sorry and 
I'm goin‚Ä¶ https://t.co/iBRV7H8x8R"
"1225","@CraigRSawyer @KevinSpacey Can‚Äôt believe you went there, ‚ÄúKeyser Soze!‚ÄùÌ†æÌ¥£ But that was awesome!! Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±çÌ†ºÌøºÌ†ΩÌ±çÌ†ºÌøº"
"1226","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/Hb3KINq4eO"
"1227","@CraigRSawyer @KevinSpacey And he would be way too scared of your morals to go anywhere near you and your friends"
"1228","@CraigRSawyer @KevinSpacey Umm you probably just triggered his suicide, oh well"
"1229","@Wearethe65m @thehill @SenateMajLdr @alfranken @KevinSpacey Joe Biden touched my penis 6 years ago! There I made a‚Ä¶ https://t.co/wj3BjDH0nm"
"1230","@ABC2020 @BarbaraJWalters Can you please come out of retirement and do ""The Interview"" of @charlierose‚Ä¶ https://t.co/hCwPmcypWo"
"1231","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/UufN13xGKx"
"1232","@Corey_Feldman @TheWantedEmcees @chelseahandler @Jahmai11 @realDonaldTrump @SenFranken @CoryBooker @RepAlGreen‚Ä¶ https://t.co/gzeyqFMURf"
"1233","Well, Everyone Is Doing It
A #Limerick for the obvious.

""You see, with all the news we got,
@KevinSpacey may have‚Ä¶ https://t.co/n8dlj7zxRf"
"1234","@CraigRSawyer @KevinSpacey Whos next , we have to rid this country of this trash faster ,"
"1235","@AuntieSmel @MLauer @KevinSpacey @realDonaldTrump You know why.
@MLauer @KevinSpacey  have not denied they did what‚Ä¶ https://t.co/Hxi9T3r3rq"
"1236","@chelseahandler Ì†æÌ¥î..I think you got confused. Did you mean, @alfranken #mattlauer #BillClinton #JohnConyers‚Ä¶ https://t.co/6e44qpwVoL"
"1237","When are we going to hold @realDonaldTrump to the same standard as @MLauer or @charlierose or @HarveyWeinstein or @KevinSpacey ???"
"1238","@CraigRSawyer @KevinSpacey @dbongino might bring the house of card's down I've heard.Thank u sincerely 4 all that u‚Ä¶ https://t.co/54BP9JZZ6X"
"1239","@_JRS79 @MLauer @KevinSpacey Yes, agreed. I felt gross and he wasn‚Äôt even talking to me. Ick."
"1240","@albinokid Wow I love House of Cards and I‚Äôll admit one of my first thoughts was, ‚ÄúWTF will happen to the show?‚Äù  H‚Ä¶ https://t.co/yHhtLWOerD"
"1241","@WarriorforKids @OpenThePrimary @TraffickReport2 @TheHoneybee_ @brittswoo @Gruvedawg @MayFlowers90 @PaulyDeathwish‚Ä¶ https://t.co/TSxEmtK3s9"
"1242","@WarriorforKids @OpenThePrimary @CarrieanneTX @TraffickReport2 @TheHoneybee_ @brittswoo @Gruvedawg @MayFlowers90‚Ä¶ https://t.co/4dvrRc5DAD"
"1243","@bradswifey83 @MLauer @KevinSpacey 100% unnerving. His voice was in a tone that meant business."
"1244","@_JRS79 @MLauer @KevinSpacey I think i feel a little ill. His facial expressions kinda irk me too. Like creeper status."
"1245","@JrcheneyJohn @StacyLStiles @eissolomon11 @skb_sara @NIVIsa4031 @Hoosiers1986 @Truthseeker126 @GeorgiaDirtRoad‚Ä¶ https://t.co/iVfrtTVY6I"
"1246","I would actually it if love Ridley Scott released the @KevinSpacey &amp; Christopher Plummer versions together in a Blu‚Ä¶ https://t.co/ycFFQ3ODoy"
"1247","@Lauren_Nann @Renshaw1921 @celestemc @yashar @EricHaywood @NatEnquirer @KevinSpacey @MLauer @BillClinton They repor‚Ä¶ https://t.co/1Y4dhwjQdt"
"1248","@_JRS79 @MLauer @KevinSpacey Y i k e s. -"
"1249",". @HarveyWeinstein - FIRED              @KevinSpacey - FIRED                     @jeffreytambor - RUINED )‚Ä¶ https://t.co/IuyRvWOkMa"
"1250","I feel like @MLauer is not being playful.. Was he impersonating every character @KevinSpacey has ever played? https://t.co/ue2OloVCrI"
"1251","@Justasadmullet @ShelbyTMitchell I don‚Äôt doubt that @MLauer was doing this. Was @realDonaldTrump @KevinSpacey ,‚Ä¶ https://t.co/BjOrmGMEdj"
"1252","@MLauer @charlierose @HarveyWeinstein @realDonaldTrump @KevinSpacey @BillOReilly They all deserve to be in prison."
"1253","As @charlierose #HarveyWeinstein @GlennThrush @KevinSpacey @MarkHalperin @alfranken @RepJohnConyers and now @MLauer‚Ä¶ https://t.co/2iXY2GacYO"
"1254","its funny @KevinSpacey got fired from playing the president on a tv show meanwhile @realDonaldTrump gets to keep hi‚Ä¶ https://t.co/QPgJZd77Gd"
"1255","@sternshow @krentcilp5 @KevinSpacey @jdharm https://t.co/Y7suzwR7YP Kevin Spacey is the executive producer of Man Hunt unabomber"
"1256","@RedPillMurica @GrizzleMeister @CoolHandLukeX1 @SparkleSoup45 @Keque_Mage @InTheYear1611_ @writemombritt‚Ä¶ https://t.co/eBO5YZsyvv"
"1257","Still haven't figured out how @MLauer @KevinSpacey etc have been vilified but people elected @realDonaldTrump as pr‚Ä¶ https://t.co/LGc2B0VaeK"
"1258","@GeraldoRivera @MLauer Geraldo &amp; Lauer, your history with women makes my interactions with Jennifer and Bailey look‚Ä¶ https://t.co/XlaLttZIPG"
"1259","We call this a ""Reckoning"" @KevinSpacey https://t.co/JcnK1POvfB"
"1260","@jjacksantoro @BillClinton @KevinSpacey @BrietbartNews A book with Archive of #QANON questions-
And connections wit‚Ä¶ https://t.co/dbm69Ym7hc"
"1261","Hey @KirstenPowers what say you #WarOnWomen? JFK, Ted Kennedy, @BillClinton AWiener @MLauer @charlierose‚Ä¶ https://t.co/tb6ppf6bBc"
"1262","@jjacksantoro @BillClinton @KevinSpacey So is @BrietbartNews but here years later what AB said bout the podesta's s‚Ä¶ https://t.co/JDozyv46xn"
"1263","@LeeAlkoby @BillClinton @KevinSpacey 4chan is known to be a breeding ground for a lot of conspiracy theories but I'‚Ä¶ https://t.co/xjhVIU60Ye"
"1264","@KevinSpacey Wonder what else saying in Gaffney,but,Hope you'll get through this soon and miss your movies."
"1265","@KevinSpacey Wonder what else saying in Gaffney,but,Hope you'll get through this soon and miss your movies."
"1266","@jjacksantoro @BillClinton @KevinSpacey Then we will start to understand the depth of this situation, the informati‚Ä¶ https://t.co/6dm3xXFfxK"
"1267","@jjacksantoro @BillClinton @KevinSpacey #SealedIndictments under the mueller investigation, it will be just that; s‚Ä¶ https://t.co/WgS2iNfO5B"
"1268","@jjacksantoro @BillClinton @KevinSpacey At the end of the day you and I can have our own speculation and fight each‚Ä¶ https://t.co/WvSVaKr8YO"
"1269","@KevinSpacey never been more disappointed with an actor in my life. Its strange cos i remember a seen from K-Pax wh‚Ä¶ https://t.co/q54aVTbopf"
"1270","@billyeichner Or @MLauer @SenFranken @BrettRatner @KevinSpacey @WeinsteinFilms or anyone else???"
"1271","@LeeAlkoby @BillClinton @KevinSpacey No i don't think it's connected in the way I think you mean, normal people get‚Ä¶ https://t.co/yseRhfSEjO"
"1272","I guess the positive is that the women were legal @MLauer unlike @KevinSpacey with his pedophile ways"
"1273","@CraigRSawyer @KevinSpacey @KevinSpacey will sing like a canary! https://t.co/xQNOlrul0V"
"1274","@KevinSpacey you are disgusting."
"1275","@CraigRSawyer @KevinSpacey Kevin...well?"
"1276","#HillbillyRapist is already going down, one way or another. As the DNC panick becomes frantic, their  Pakistani ISI‚Ä¶ https://t.co/QP1dbGzitF"
"1277","‚ö†Ô∏èYikes! 
Bill Clinton got #Loomered.  
Roger Stone interviews  @LauraLoomer about POTUS use of presidential motorc‚Ä¶ https://t.co/BNRfVVZG1Q"
"1278","@CraigRSawyer @KevinSpacey That was awesome Craig!"
"1279","Hope that pussy or dick was worth it @KevinSpacey 
You threw away an Oscar ya fucking sicko. #ChristopherPlummer‚Ä¶ https://t.co/3pXcR9m6HU"
